,fecha,cod_ine,municipio,departamento,dosis,porcentaje
2813,2022-01-22,30703,Sicaya,Cochabamba,1,45
2814,2022-01-22,30703,Sicaya,Cochabamba,2,40
2829,2022-01-22,31201,Totora(Cbba),Cochabamba,1,49
2830,2022-01-22,31201,Totora(Cbba),Cochabamba,2,41
2845,2022-01-22,31302,Vila Vila,Cochabamba,1,46
2846,2022-01-22,31302,Vila Vila,Cochabamba,2,43
2861,2022-01-22,30905,Colcapirhua,Cochabamba,1,53
2862,2022-01-22,30905,Colcapirhua,Cochabamba,2,44
2877,2022-01-22,31205,Puerto Villarroel,Cochabamba,1,54
2878,2022-01-22,31205,Puerto Villarroel,Cochabamba,2,44
2893,2022-01-22,30903,Tiquipaya,Cochabamba,1,59
2894,2022-01-22,30903,Tiquipaya,Cochabamba,2,46
2909,2022-01-22,31206,Entre Rios,Cochabamba,1,59
2910,2022-01-22,31206,Entre Rios,Cochabamba,2,45
2925,2022-01-22,31101,Tapacari,Cochabamba,1,52
2926,2022-01-22,31101,Tapacari,Cochabamba,2,45
2941,2022-01-22,31403,San Benito,Cochabamba,1,57
2942,2022-01-22,31403,San Benito,Cochabamba,2,49
2957,2022-01-22,31602,Shinahota,Cochabamba,1,64
2958,2022-01-22,31602,Shinahota,Cochabamba,2,51
2973,2022-01-22,31003,Villa Tunari,Cochabamba,1,62
2974,2022-01-22,31003,Villa Tunari,Cochabamba,2,51
2989,2022-01-22,31402,Villa Rivero,Cochabamba,1,66
2990,2022-01-22,31402,Villa Rivero,Cochabamba,2,50
3005,2022-01-22,30501,Arani,Cochabamba,1,70
3006,2022-01-22,30501,Arani,Cochabamba,2,50
3021,2022-01-22,31204,Chimore,Cochabamba,1,63
3022,2022-01-22,31204,Chimore,Cochabamba,2,52
3037,2022-01-22,30404,Sacabamba,Cochabamba,1,70
3038,2022-01-22,30404,Sacabamba,Cochabamba,2,55
3053,2022-01-22,30802,Toko,Cochabamba,1,81
3054,2022-01-22,30802,Toko,Cochabamba,2,55
3069,2022-01-22,30701,Capinota,Cochabamba,1,71
3070,2022-01-22,30701,Capinota,Cochabamba,2,57
3085,2022-01-22,31303,Alalay,Cochabamba,1,74
3086,2022-01-22,31303,Alalay,Cochabamba,2,65
3101,2022-01-22,30901,Quillacollo,Cochabamba,1,72
3102,2022-01-22,30901,Quillacollo,Cochabamba,2,61
3117,2022-01-22,30601,Arque,Cochabamba,1,65
3118,2022-01-22,30601,Arque,Cochabamba,2,59
3133,2022-01-22,31203,Pocona,Cochabamba,1,68
3134,2022-01-22,31203,Pocona,Cochabamba,2,58
3149,2022-01-22,30201,Aiquile,Cochabamba,1,74
3150,2022-01-22,30201,Aiquile,Cochabamba,2,68
3165,2022-01-22,31404,Tacachi,Cochabamba,1,90
3166,2022-01-22,31404,Tacachi,Cochabamba,2,69
3181,2022-01-22,30801,Cliza,Cochabamba,1,90
3182,2022-01-22,30801,Cliza,Cochabamba,2,74
3197,2022-01-22,31401,Punata,Cochabamba,1,93
3198,2022-01-22,31401,Punata,Cochabamba,2,76
3213,2022-01-22,30403,Arbieto,Cochabamba,1,99
3214,2022-01-22,30403,Arbieto,Cochabamba,2,75
3229,2022-01-22,30402,Anzaldo,Cochabamba,1,104
3230,2022-01-22,30402,Anzaldo,Cochabamba,2,81
3245,2022-01-22,30203,Omereque,Cochabamba,1,86
3246,2022-01-22,30203,Omereque,Cochabamba,2,83
3261,2022-01-22,30803,Tolata,Cochabamba,1,108
3262,2022-01-22,30803,Tolata,Cochabamba,2,91
3277,2022-01-22,30401,Tarata,Cochabamba,1,111
3278,2022-01-22,30401,Tarata,Cochabamba,2,93
3293,2022-01-22,30101,Cochabamba,Cochabamba,1,112
3294,2022-01-22,30101,Cochabamba,Cochabamba,2,96
3309,2022-01-22,31405,Cuchumuela (V. G. Villarroel),Cochabamba,1,127
3310,2022-01-22,31405,Cuchumuela (V. G. Villarroel),Cochabamba,2,101
3325,2022-01-22,30702,Santivañez,Cochabamba,1,158
3326,2022-01-22,30702,Santivañez,Cochabamba,2,131
3341,2022-01-22,10302,Presto,Chuquisaca,1,23
3342,2022-01-22,10302,Presto,Chuquisaca,2,19
3357,2022-01-22,10601,Tarabuco,Chuquisaca,1,39
3358,2022-01-22,10601,Tarabuco,Chuquisaca,2,29
3373,2022-01-22,10703,Incahuasi,Chuquisaca,1,32
3374,2022-01-22,10703,Incahuasi,Chuquisaca,2,23
3389,2022-01-22,10103,Poroma,Chuquisaca,1,29
3390,2022-01-22,10103,Poroma,Chuquisaca,2,25
3405,2022-01-22,10202,Tarvita,Chuquisaca,1,36
3406,2022-01-22,10202,Tarvita,Chuquisaca,2,32
3421,2022-01-22,10704,Villa Charcas,Chuquisaca,1,31
3422,2022-01-22,10704,Villa Charcas,Chuquisaca,2,21
3437,2022-01-22,10602,Yamparaez,Chuquisaca,1,39
3438,2022-01-22,10602,Yamparaez,Chuquisaca,2,31
3453,2022-01-22,10403,Sopachuy,Chuquisaca,1,36
3454,2022-01-22,10403,Sopachuy,Chuquisaca,2,31
3469,2022-01-22,10301,Zudañez,Chuquisaca,1,35
3470,2022-01-22,10301,Zudañez,Chuquisaca,2,31
3485,2022-01-22,10303,Mojocoya,Chuquisaca,1,48
3486,2022-01-22,10303,Mojocoya,Chuquisaca,2,41
3501,2022-01-22,10201,Azurduy,Chuquisaca,1,56
3502,2022-01-22,10201,Azurduy,Chuquisaca,2,50
3517,2022-01-22,10702,San Lucas,Chuquisaca,1,49
3518,2022-01-22,10702,San Lucas,Chuquisaca,2,43
3533,2022-01-22,10304,Icla,Chuquisaca,1,50
3534,2022-01-22,10304,Icla,Chuquisaca,2,43
3549,2022-01-22,10902,Culpina,Chuquisaca,1,53
3550,2022-01-22,10902,Culpina,Chuquisaca,2,45
3565,2022-01-22,10402,Tomina,Chuquisaca,1,57
3566,2022-01-22,10402,Tomina,Chuquisaca,2,50
3581,2022-01-22,10102,Yotala,Chuquisaca,1,59
3582,2022-01-22,10102,Yotala,Chuquisaca,2,52
3597,2022-01-22,10903,Las Carreras,Chuquisaca,1,55
3598,2022-01-22,10903,Las Carreras,Chuquisaca,2,50
3613,2022-01-22,10404,Alcala,Chuquisaca,1,53
3614,2022-01-22,10404,Alcala,Chuquisaca,2,52
3629,2022-01-22,10901,Camataqui (C. Villa Abecia),Chuquisaca,1,55
3630,2022-01-22,10901,Camataqui (C. Villa Abecia),Chuquisaca,2,54
3645,2022-01-22,10405,El Villar,Chuquisaca,1,67
3646,2022-01-22,10405,El Villar,Chuquisaca,2,60
3661,2022-01-22,11002,Huacaya (Villa De Huacaya),Chuquisaca,1,72
3662,2022-01-22,11002,Huacaya (Villa De Huacaya),Chuquisaca,2,70
3677,2022-01-22,10701,Camargo,Chuquisaca,1,74
3678,2022-01-22,10701,Camargo,Chuquisaca,2,70
3693,2022-01-22,11003,Machareti,Chuquisaca,1,77
3694,2022-01-22,11003,Machareti,Chuquisaca,2,73
3709,2022-01-22,10801,Villa Serrano,Chuquisaca,1,79
3710,2022-01-22,10801,Villa Serrano,Chuquisaca,2,76
3725,2022-01-22,11001,Villa Vaca Guzman (Muyupampa),Chuquisaca,1,81
3726,2022-01-22,11001,Villa Vaca Guzman (Muyupampa),Chuquisaca,2,75
3741,2022-01-22,10502,Huacareta,Chuquisaca,1,90
3742,2022-01-22,10502,Huacareta,Chuquisaca,2,85
3757,2022-01-22,10401,Padilla,Chuquisaca,1,88
3758,2022-01-22,10401,Padilla,Chuquisaca,2,85
3773,2022-01-22,10101,Sucre,Chuquisaca,1,100
3774,2022-01-22,10101,Sucre,Chuquisaca,2,85
3789,2022-01-22,10501,Monteagudo,Chuquisaca,1,92
3790,2022-01-22,10501,Monteagudo,Chuquisaca,2,87
3805,2022-01-22,60402,Yunchara,Tarija,1,52
3806,2022-01-22,60402,Yunchara,Tarija,2,49
3821,2022-01-22,60502,El Puente(Tja),Tarija,1,73
3822,2022-01-22,60502,El Puente(Tja),Tarija,2,62
3837,2022-01-22,60202,Bermejo,Tarija,1,76
3838,2022-01-22,60202,Bermejo,Tarija,2,67
3853,2022-01-22,60601,Entre Rios,Tarija,1,76
3854,2022-01-22,60601,Entre Rios,Tarija,2,68
3869,2022-01-22,60201,Padcaya,Tarija,1,76
3870,2022-01-22,60201,Padcaya,Tarija,2,69
3885,2022-01-22,60301,Yacuiba,Tarija,1,78
3886,2022-01-22,60301,Yacuiba,Tarija,2,65
3901,2022-01-22,60302,Carapari,Tarija,1,77
3902,2022-01-22,60302,Carapari,Tarija,2,69
3917,2022-01-22,60401,Uriondo (A. Concepcion),Tarija,1,81
3918,2022-01-22,60401,Uriondo (A. Concepcion),Tarija,2,71
3933,2022-01-22,60501,San Lorenzo(Tja),Tarija,1,81
3934,2022-01-22,60501,San Lorenzo(Tja),Tarija,2,71
3949,2022-01-22,60303,Villamontes,Tarija,1,84
3950,2022-01-22,60303,Villamontes,Tarija,2,74
3965,2022-01-22,60101,Tarija,Tarija,1,87
3966,2022-01-22,60101,Tarija,Tarija,2,75
3981,2022-01-22,90402,Ingavi (Humaita),Pando,1,43
3982,2022-01-22,90402,Ingavi (Humaita),Pando,2,25
3997,2022-01-22,90303,Sena,Pando,1,39
3998,2022-01-22,90303,Sena,Pando,2,23
4013,2022-01-22,90302,San Lorenzo(Pnd),Pando,1,40
4014,2022-01-22,90302,San Lorenzo(Pnd),Pando,2,28
4029,2022-01-22,90202,San Pedro(Pnd),Pando,1,44
4030,2022-01-22,90202,San Pedro(Pnd),Pando,2,37
4045,2022-01-22,90103,Bolpebra,Pando,1,53
4046,2022-01-22,90103,Bolpebra,Pando,2,39
4061,2022-01-22,90501,Nuevo Manoa (Nueva Esperanza),Pando,1,44
4062,2022-01-22,90501,Nuevo Manoa (Nueva Esperanza),Pando,2,31
4077,2022-01-22,90503,Eureka (Santos Mercado),Pando,1,54
4078,2022-01-22,90503,Eureka (Santos Mercado),Pando,2,38
4093,2022-01-22,90102,Porvenir,Pando,1,53
4094,2022-01-22,90102,Porvenir,Pando,2,39
4109,2022-01-22,90301,Puerto Gonzalo Moreno,Pando,1,52
4110,2022-01-22,90301,Puerto Gonzalo Moreno,Pando,2,41
4125,2022-01-22,90203,Filadelfia,Pando,1,59
4126,2022-01-22,90203,Filadelfia,Pando,2,43
4141,2022-01-22,90502,Villa Nueva (Loma Alta),Pando,1,61
4142,2022-01-22,90502,Villa Nueva (Loma Alta),Pando,2,43
4157,2022-01-22,90401,Nacebe (Santa Rosa Del Abuna),Pando,1,69
4158,2022-01-22,90401,Nacebe (Santa Rosa Del Abuna),Pando,2,55
4173,2022-01-22,90104,Bella Flor,Pando,1,71
4174,2022-01-22,90104,Bella Flor,Pando,2,58
4189,2022-01-22,90101,Cobija,Pando,1,74
4190,2022-01-22,90101,Cobija,Pando,2,57
4205,2022-01-22,90201,Puerto Rico,Pando,1,83
4206,2022-01-22,90201,Puerto Rico,Pando,2,68
4220,2022-01-22,80402,Exaltacion,Beni,1,19
4221,2022-01-22,80402,Exaltacion,Beni,2,18
4236,2022-01-22,80601,Loreto,Beni,1,25
4237,2022-01-22,80601,Loreto,Beni,2,18
4252,2022-01-22,80102,San Javier(Bni),Beni,1,24
4253,2022-01-22,80102,San Javier(Bni),Beni,2,21
4268,2022-01-22,80302,San Borja,Beni,1,34
4269,2022-01-22,80302,San Borja,Beni,2,26
4284,2022-01-22,80301,Reyes,Beni,1,41
4285,2022-01-22,80301,Reyes,Beni,2,33
4300,2022-01-22,80304,Rurrenabaque,Beni,1,47
4301,2022-01-22,80304,Rurrenabaque,Beni,2,34
4315,2022-01-22,80602,San Andres,Beni,1,56
4316,2022-01-22,80602,San Andres,Beni,2,45
4331,2022-01-22,80701,San Joaquin,Beni,1,55
4332,2022-01-22,80701,San Joaquin,Beni,2,45
4347,2022-01-22,80401,Santa Ana,Beni,1,62
4348,2022-01-22,80401,Santa Ana,Beni,2,50
4363,2022-01-22,80803,Huacaraje,Beni,1,54
4364,2022-01-22,80803,Huacaraje,Beni,2,49
4379,2022-01-22,80801,Magdalena,Beni,1,53
4380,2022-01-22,80801,Magdalena,Beni,2,45
4395,2022-01-22,80501,San Ignacio,Beni,1,65
4396,2022-01-22,80501,San Ignacio,Beni,2,55
4411,2022-01-22,80101,Trinidad,Beni,1,73
4412,2022-01-22,80101,Trinidad,Beni,2,53
4427,2022-01-22,80303,Santa Rosa,Beni,1,69
4428,2022-01-22,80303,Santa Rosa,Beni,2,57
4443,2022-01-22,80703,Puerto Siles,Beni,1,72
4444,2022-01-22,80703,Puerto Siles,Beni,2,60
4459,2022-01-22,80702,San Ramon,Beni,1,77
4460,2022-01-22,80702,San Ramon,Beni,2,63
4475,2022-01-22,80201,Riberalta,Beni,1,83
4476,2022-01-22,80201,Riberalta,Beni,2,60
4491,2022-01-22,80202,Guayaramerin,Beni,1,86
4492,2022-01-22,80202,Guayaramerin,Beni,2,65
4507,2022-01-22,80802,Baures,Beni,1,82
4508,2022-01-22,80802,Baures,Beni,2,79
4523,2022-01-22,70403,Yapacani,Santa Cruz,1,31
4524,2022-01-22,70403,Yapacani,Santa Cruz,2,24
4539,2022-01-22,70502,Pailon,Santa Cruz,1,37
4540,2022-01-22,70502,Pailon,Santa Cruz,2,25
4555,2022-01-22,71104,San Julian,Santa Cruz,1,38
4556,2022-01-22,71104,San Julian,Santa Cruz,2,31
4571,2022-01-22,70501,San Jose De Chiquitos,Santa Cruz,1,37
4572,2022-01-22,70501,San Jose De Chiquitos,Santa Cruz,2,30
4587,2022-01-22,71503,El Puente(Stc),Santa Cruz,1,40
4588,2022-01-22,71503,El Puente(Stc),Santa Cruz,2,33
4603,2022-01-22,70104,La Guardia,Santa Cruz,1,45
4604,2022-01-22,70104,La Guardia,Santa Cruz,2,36
4619,2022-01-22,70602,Santa Rosa Del Sara,Santa Cruz,1,42
4620,2022-01-22,70602,Santa Rosa Del Sara,Santa Cruz,2,37
4635,2022-01-22,70702,Charagua,Santa Cruz,1,44
4636,2022-01-22,70702,Charagua,Santa Cruz,2,37
4651,2022-01-22,71501,Ascencion De Guarayos,Santa Cruz,1,52
4652,2022-01-22,71501,Ascencion De Guarayos,Santa Cruz,2,36
4667,2022-01-22,71106,Cuatro Cañadas,Santa Cruz,1,48
4668,2022-01-22,71106,Cuatro Cañadas,Santa Cruz,2,39
4683,2022-01-22,70201,Warnes,Santa Cruz,1,47
4684,2022-01-22,70201,Warnes,Santa Cruz,2,40
4699,2022-01-22,71302,Saipina,Santa Cruz,1,54
4700,2022-01-22,71302,Saipina,Santa Cruz,2,47
4715,2022-01-22,71004,Fernandez Alonso,Santa Cruz,1,54
4716,2022-01-22,71004,Fernandez Alonso,Santa Cruz,2,44
4731,2022-01-22,71502,Urubicha,Santa Cruz,1,62
4732,2022-01-22,71502,Urubicha,Santa Cruz,2,47
4747,2022-01-22,70402,San Carlos,Santa Cruz,1,57
4748,2022-01-22,70402,San Carlos,Santa Cruz,2,49
4763,2022-01-22,71005,San Pedro,Santa Cruz,1,52
4764,2022-01-22,71005,San Pedro,Santa Cruz,2,47
4779,2022-01-22,70902,Pampa Grande,Santa Cruz,1,62
4780,2022-01-22,70902,Pampa Grande,Santa Cruz,2,50
4795,2022-01-22,70703,Cabezas,Santa Cruz,1,64
4796,2022-01-22,70703,Cabezas,Santa Cruz,2,55
4811,2022-01-22,70404,San Juan De Yapacani,Santa Cruz,1,61
4812,2022-01-22,70404,San Juan De Yapacani,Santa Cruz,2,55
4827,2022-01-22,71105,San Antonio De Lomerio,Santa Cruz,1,64
4828,2022-01-22,71105,San Antonio De Lomerio,Santa Cruz,2,57
4843,2022-01-22,70903,Mairana,Santa Cruz,1,68
4844,2022-01-22,70903,Mairana,Santa Cruz,2,57
4859,2022-01-22,71003,Mineros,Santa Cruz,1,69
4860,2022-01-22,71003,Mineros,Santa Cruz,2,58
4875,2022-01-22,70904,Quirusillas,Santa Cruz,1,65
4876,2022-01-22,70904,Quirusillas,Santa Cruz,2,59
4891,2022-01-22,70705,Gutierrez,Santa Cruz,1,68
4892,2022-01-22,70705,Gutierrez,Santa Cruz,2,60
4907,2022-01-22,71301,Comarapa,Santa Cruz,1,76
4908,2022-01-22,71301,Comarapa,Santa Cruz,2,65
4923,2022-01-22,70804,Postrer Valle,Santa Cruz,1,68
4924,2022-01-22,70804,Postrer Valle,Santa Cruz,2,61
4939,2022-01-22,71102,San Javier(Stc),Santa Cruz,1,73
4940,2022-01-22,71102,San Javier(Stc),Santa Cruz,2,66
4955,2022-01-22,70802,Trigal,Santa Cruz,1,72
4956,2022-01-22,70802,Trigal,Santa Cruz,2,65
4971,2022-01-22,70401,Buena Vista,Santa Cruz,1,80
4972,2022-01-22,70401,Buena Vista,Santa Cruz,2,69
4987,2022-01-22,70105,El Torno,Santa Cruz,1,79
4988,2022-01-22,70105,El Torno,Santa Cruz,2,68
5003,2022-01-22,71001,Montero,Santa Cruz,1,81
5004,2022-01-22,71001,Montero,Santa Cruz,2,65
5019,2022-01-22,70704,Cuevo,Santa Cruz,1,73
5020,2022-01-22,70704,Cuevo,Santa Cruz,2,70
5035,2022-01-22,70303,San Rafael,Santa Cruz,1,76
5036,2022-01-22,70303,San Rafael,Santa Cruz,2,65
5051,2022-01-22,71403,Carmen Rivero Torrez,Santa Cruz,1,79
5052,2022-01-22,71403,Carmen Rivero Torrez,Santa Cruz,2,71
5067,2022-01-22,71401,Puerto Suarez,Santa Cruz,1,79
5068,2022-01-22,71401,Puerto Suarez,Santa Cruz,2,72
5083,2022-01-22,71101,Concepcion,Santa Cruz,1,86
5084,2022-01-22,71101,Concepcion,Santa Cruz,2,74
5099,2022-01-22,70707,Boyuibe,Santa Cruz,1,77
5100,2022-01-22,70707,Boyuibe,Santa Cruz,2,75
5115,2022-01-22,70103,Porongo,Santa Cruz,1,82
5116,2022-01-22,70103,Porongo,Santa Cruz,2,74
5131,2022-01-22,70301,San Ignacio De Velasco,Santa Cruz,1,82
5132,2022-01-22,70301,San Ignacio De Velasco,Santa Cruz,2,70
5147,2022-01-22,71103,San Ramon,Santa Cruz,1,82
5148,2022-01-22,71103,San Ramon,Santa Cruz,2,73
5163,2022-01-22,70901,Samaipata,Santa Cruz,1,83
5164,2022-01-22,70901,Samaipata,Santa Cruz,2,77
5179,2022-01-22,70302,San Miguel De Velasco,Santa Cruz,1,86
5180,2022-01-22,70302,San Miguel De Velasco,Santa Cruz,2,79
5195,2022-01-22,70202,Okinawa,Santa Cruz,1,84
5196,2022-01-22,70202,Okinawa,Santa Cruz,2,77
5211,2022-01-22,70101,Santa Cruz de la Sierra,Santa Cruz,1,88
5212,2022-01-22,70101,Santa Cruz de la Sierra,Santa Cruz,2,75
5227,2022-01-22,70805,Pucara,Santa Cruz,1,87
5228,2022-01-22,70805,Pucara,Santa Cruz,2,82
5243,2022-01-22,70601,Portachuelo,Santa Cruz,1,87
5244,2022-01-22,70601,Portachuelo,Santa Cruz,2,81
5259,2022-01-22,71402,Puerto Quijarro,Santa Cruz,1,94
5260,2022-01-22,71402,Puerto Quijarro,Santa Cruz,2,81
5275,2022-01-22,70803,Moro Moro,Santa Cruz,1,94
5276,2022-01-22,70803,Moro Moro,Santa Cruz,2,85
5291,2022-01-22,71201,San Matias,Santa Cruz,1,88
5292,2022-01-22,71201,San Matias,Santa Cruz,2,86
5307,2022-01-22,70801,Vallegrande,Santa Cruz,1,100
5308,2022-01-22,70801,Vallegrande,Santa Cruz,2,91
5323,2022-01-22,71002,General Saavedra,Santa Cruz,1,98
5324,2022-01-22,71002,General Saavedra,Santa Cruz,2,86
5339,2022-01-22,70701,Lagunillas,Santa Cruz,1,94
5340,2022-01-22,70701,Lagunillas,Santa Cruz,2,89
5355,2022-01-22,70503,Robore,Santa Cruz,1,101
5356,2022-01-22,70503,Robore,Santa Cruz,2,86
5371,2022-01-22,70603,Colpa Belgica,Santa Cruz,1,105
5372,2022-01-22,70603,Colpa Belgica,Santa Cruz,2,94
5387,2022-01-22,70102,Cotoca,Santa Cruz,1,112
5388,2022-01-22,70102,Cotoca,Santa Cruz,2,89
5403,2022-01-22,70706,Camiri,Santa Cruz,1,106
5404,2022-01-22,70706,Camiri,Santa Cruz,2,96
